"name","categories","website","customLink","phone","address","rating","totalCustomerRated","totalYearsInBusiness","totalYearsWithYellowPages","openOrClosed","bbaRating","amenities"
"Mark A. Venincasa DDS","Dentists,Clinics,Dental Clinics","http://www.venincasadental.com/about",,"(972) 250-2580","17330 Preston Rd #116DDallas, TX 75252",,,"37","6","CLOSED NOW",,"Wheelchair accessible"
"Buchanan, Barry H","Dentists,Implant Dentistry,Cosmetic Dentistry","http://www.mydentistindallas.com",,"(214) 343-1818","7115 Greenville AveDallas, TX 75231",,,"34","6","CLOSED NOW","A+","Wheelchair accessible"
"Peter Hofmann DDS","Dentists,Teeth Whitening Products & Services,Prosthodontists & Denture Centers",,,"(972) 960-1913","107 Spanish VlgDallas, TX 75248",,,"46",,"CLOSED NOW",,""
"Columbia Dental & Orthodontics","Dentists,Clothing Alterations,Oral & Maxillofacial Surgery","http://www.dallasdentalortho.com",,"(214) 827-8000","4611 Columbia Ave Ste 104Dallas, TX 75226","five","1","13",,"CLOSED NOW","A+",""
"David D. Fyffe, DDS","Dentists,Dental Clinics,Clinics","http://www.drfyffe.com",,"(214) 340-1776","11411 E Northwest Hwy Ste 101Dallas, TX 75218",,,"40",,"CLOSED NOW","A+","Wheelchair accessible"
"Alfa Dental","Dentists,Prosthodontists & Denture Centers,Clinics","http://www.alfadental.com",,"(972) 620-8280","14800 Webb Chapel RdDallas, TX 75234",,,"43","11",,,""
"Valley View Dental","Dentists,Pediatric Dentistry,Dental Hygienists","http://www.valleyview-dental.com",,"(972) 241-4684","2800 Valley View LnDallas, TX 75234","five","13","55",,"CLOSED NOW","A+","Wheelchair accessible"
"Preston Dental","Dentists,Implant Dentistry,Teeth Whitening Products & Services",,,"(972) 661-1094","13601 Preston Rd Ste 320Dallas, TX 75240","five","1","27",,"CLOSED NOW",,""
"Rio Dental","Dentists,Pediatric Dentistry,Clinics","http://riodentalgroup.com",,"(972) 746-2533","2740 Valwood PkwyDallas, TX 75234",,,"18",,"CLOSED NOW","A+","Wheelchair accessible"
"West Davis Dental","Dentists,Implant Dentistry,Orthodontists","http://www.westdavisdental.com",,"(214) 948-3035","611 N Bishop AveDallas, TX 75208",,,"13",,"CLOSED NOW","A+",""
"Preston Hollow Dental Care","Dentists","https://www.dentalworks.com/offices/texas/preston-hollow-dental-care",,"(214) 361-4151","11661 Preston Rd Ste 104Dallas, TX 75230","four","1","120",,"CLOSED NOW",,""
"Fadi Hamam, DMD","Dentists","http://www.wheatlanddentalcare.com",,"(972) 227-6453","3940 W Wheatland RdDallas, TX 75237","five","158","6",,"CLOSED NOW",,"Wheelchair accessible"
"DNA Dental of Dallas: Darya Timin DDS","Dentists,Cosmetic Dentistry","http://www.dnadentaldallas.com",,"(214) 295-9270","6162 E Mockingbird Ln Ste 205Dallas, TX 75214","five","34",,,"CLOSED NOW",,"Wheelchair accessible"
"Dr. Chung Heo, MD","Dentists","http://www.wheatlanddentalcare.com",,"(972) 227-6453","3940 W Wheatland RdDallas, TX 75237","five","26",,,"CLOSED NOW",,"Wheelchair accessible"
"Sugg Harry L","Dentists,Orthodontists,Cosmetic Dentistry","http://www.wheatlanddentalcare.com",,"(972) 227-6453","3940 W Wheatland RdDallas, TX 75237","five","166","54",,"CLOSED NOW",,"Wheelchair accessible"
"Superior Smiles - Janell Kenny, DDS","Dentists,Endodontists,Orthodontists","http://superiorsmiles.net",,"(214) 368-6479","6600 Lyndon B Johnson Fwy Ste 225Dallas, TX 75240","five","17","36",,"CLOSED NOW","A+",""
"Great Expressions Dental Centers Cockrell Hill","Dentists,Dental Hygienists,Teeth Whitening Products & Services","http://www.greatexpressions.com",,"(214) 623-8221","2425 S Cockrell Hill Rd Ste ADallas, TX 75211","one","2","48",,"CLOSED NOW",,""
"Lake Highlands Dental","Dentists,Implant Dentistry,Periodontists","https://www.lakehighlandsdental.com",,"(214) 613-1279","8610 Greenville Ave Ste 150Dallas, TX 75243",,,"29",,"CLOSED NOW","A+","Wheelchair accessible"
"ART OF DENTISTRY HIGHLAND PARK","Dentists,Dental Hygienists,Prosthodontists & Denture Centers","http://www.morgansmiles.com",,"(214) 528-9799","25 Highland Park VlgDallas, TX 75205",,,,,"CLOSED NOW",,""
"Smiley Dental","Dentists,Cosmetic Dentistry,Teeth Whitening Products & Services","http://www.dallastexasdentists.com",,"(972) 616-0060","2530 S Buckner BlvdDallas, TX 75227",,,"27",,"CLOSED NOW",,""
"Monarch Dental","Dentists","https://www.monarchdental.com/appointment?preFilled=true&newPatient=true&facilityId=30220&utm_source=&utm_medium=iyp&utm_content=appointmentpage&utm_campaign=yp_30220",,"(214) 331-1131","3235 W Camp Wisdom RdDallas, TX 75237","four","1","40",,"CLOSED NOW",,""
"Lopez Rosa","Dentists,Implant Dentistry,Teeth Whitening Products & Services","http://www.rosalopezdds.com",,"(214) 935-3943","5510 Abrams Rd Ste 111Dallas, TX 75214",,,"32",,"CLOSED NOW","A+","Wheelchair accessible"
"James Louis Grigsby, DDS","Dentists,Teeth Whitening Products & Services,Oral & Maxillofacial Surgery","http://www.northdallasdental.com",,"(214) 369-7000","7424 Greenville AveDallas, TX 75231",,,"30",,"CLOSED NOW",,"Wheelchair accessible"
"Lynn Dental Care","Dentists,Dental Hygienists,Dental Clinics","http://www.lynndentalcare.com",,"(972) 934-1400","6190 Lyndon B Johnson Fwy Ste 900Dallas, TX 75240",,,"43",,"CLOSED NOW",,""
"McWhorter, Alton G, DDS","Dentists,Pediatric Dentistry","http://dentistry.tamu.edu",,"(214) 828-8100","3302 Gaston AveDallas, TX 75246",,,,,,,"Wheelchair accessible"
"Montoya Sandra","Dentists,Dental Hygienists,Dental Clinics",,,"(214) 381-4242","2902 S Buckner Blvd Ste 100Dallas, TX 75227",,,,,"CLOSED NOW",,""
"Palmer Mark A","Dentists,Implant Dentistry,Teeth Whitening Products & Services","http://www.markpalmerdds.com",,"(214) 368-6792","8345 Walnut Hill Ln Ste 125Dallas, TX 75231",,,"23",,"CLOSED NOW",,""
"Dr. Connie J. Smith DDS","Dentists,Dental Hygienists,Dental Clinics","http://www.ident.ws/conniejsmith",,"(972) 239-7551","5925 Forest Ln, St 209Dallas, TX 75230",,,"43",,"CLOSED NOW",,""
"Tucker Alia","Dentists,Dental Hygienists,Dental Clinics",,,"(972) 960-2300","6041 Forest LnDallas, TX 75230",,,,,,,""
"Deepti S Mehta, Other","Dentists,Teeth Whitening Products & Services,Orthodontists","http://www.smilexo.com",,"(214) 646-0870","4222 Trinity Mills Rd Ste 250Dallas, TX 75287",,,,,,,"Wheelchair accessible"
