"name","price","rating","fromShipping","shippingCharge","seller","IsRefurbished","sold","Top Rated Plus","url"
,,,,,,"false",,"false",
"Apple iPhone 13 Pro Max 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition","$844.95","5.0 out of 5 stars.",,,,"true","84+ ","true","https://www.ebay.com/itm/295317457187?epid=4049279892&hash=item44c24ac923:g:7J8AAOSwa~JjZXcE&amdata=enc%3AAQAIAAAAwCz9T5Po739%2Bep2TcWz3zZFDrM%2FmM7Khwdz%2FoDF5QFJ8VUEiXcMKkxWpXVgal2cwLvzV9J1V728WPCu8BbtenuJy03uyKNJVfzFIhrffOq%2F4K53Ryt74gSLIiR455u9y3OA4QiulrPr1jL%2BGf3Sxv%2FS0bItHfJ7%2BpK%2BVxYWjK6sN4FOq29EQw7umnYhp%2FBrTTbztt3Z0XOrc%2FJhMfbQqS0BzqoHs7bzdHBJlFDW7WUSDwhbzcc1Y%2FNgedm29D5MQig%3D%3D%7Ctkp%3ABlBMUKDo1saJYg"
"Apple iPhone 13, A2482, 128GB, Unlocked, Very Good Condition (Free Ship)","$591.76","5.0 out of 5 stars.",,,,"true","93+ ","true","https://www.ebay.com/itm/354593664308?epid=13049280970&hash=item528f6ded34:g:MUwAAOSwuJtjcrgK&amdata=enc%3AAQAIAAAA4N1z%2BUq2HgUSe8WvUXH%2B9UglsD3%2BXO7JhX4MyuyNQp8dZRXWF3yJaHba%2Fof0edb2Xs6ielorvnwlQrsv6urnguLt%2BJzj%2FuNI51Y3Cy3PYoeLvGdBgcdJTATU9ci8Q44v4lFUVSTBg9uNoaRQPizEa91uyrExwCBnCyNtWSR%2BV9Ggcn%2FWNOOrHKJeudc97qVSrb7hzzprunPmPW2XHaHlpaHD3BwHdZCmCLWDq8nXPfEgH7upTTgiqaNgEqUD1IfYwahidyAaTDM3zZJ89beTPtVFyJwhjM3YDnHwhfblaJet%7Ctkp%3ABFBMoOjWxoli"
"Apple iPhone 13, A2482, 128GB, Unlocked, Good Condition (Free Ship)","$560.91",,,,,"true","99+ ","true","https://www.ebay.com/itm/354393355064?epid=19049287617&hash=item52837d7338:g:DDcAAOSwEjhjcrCI&amdata=enc%3AAQAIAAAA4H0%2F%2Ft8RvWoiDsk4gkpNefSJWUe363uSN3swSFhTH1EP0CUCrLYEh0MB6f3gvbyfH1qs2RRMnw7CoiEbYi1a4bvLbzRhy0KAbZgX5LSpiFD%2FUp3%2FhN5e29RP0DlXcVQ6XxxXOim1LWVAAr2C04Kndd9S%2FzzkJLBp6BPoJs9kCC%2FACeTBa1Mzeq67eA0FwVj%2BuoCQTiQC43r3ss%2FW4tfUSMXE06XM4c83cWpgVKmb%2F7o8yGcTKmHgDs9HnlQ4EwVEZdPKe0W7hTXAZlpRGLxJZNe5bI4iG%2BUY6QOrjVALn9BN%7Ctkp%3ABFBMoOjWxoli"
"Apple iPhone 13 mini - (Unlocked) - 128GB - 256GB - 512GB - Excellent","$499.00 to $619.00","5.0 out of 5 stars.",,,,"true",,"true","https://www.ebay.com/itm/364259821916?epid=10049287400&hash=item54cf93c95c:g:NZEAAOSwcUFkSqcI&amdata=enc%3AAQAIAAAA4CXD3yZZ1NEcEif%2FnfLFcPGoaHeVVFFArldVpjfyqxXOTmCuatO64KNKOs3zzOdCbgX0VKCk5Nm6nq81JD4xvPfdf1NqrD7Adc2DQzwgoQ4uIrArrBNt4chGcx0GklCBwdkqxMIHoEVQAxv9zCP1E7p6mHP%2BGsY38uOmZIJPOJ1d9VUpzhw3JwqtDBj%2BcmQEA5ctltHzIOHgQka0skrsC32EmcgZ8SWLw896lIlkIFZIy9kXvKCPPUX2%2B3ewrhrWYuUEt2hCVQVRg%2B3eubJzUvIFnu8SAf8XiAyqyfKIhxwh%7Ctkp%3ABFBMoOjWxoli"
"Apple iPhone 13 Pro Max, 256GB, Sierra Blue, Unlocked, Very Good Condition Apple iPhone 13 mini 128GB Factory Unlocked AT&T T-Mobile Verizon Very GoodApple iPhone 12 64GB Unlocked Smartphone - Very GoodApple iPhone 12 Pro Max A2342 128GB Unlocked Very Good ConditionApple iPhone 13 Pro Max A2484 128GB Unlocked Good Condition (Free Ship)Apple iPhone 13 Pro Max 128GB Unlocked Smartphone - Very GoodApple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good ConditionApple iPhone 11 - 128GB 64GB - GSM+CDMA Factory Unlocked ""Excellent'","$928.96$454.95$364.95$679.77$849.80$839.95$734.95$335.00",,,,,"false",,"false","https://www.ebay.com/itm/354384496381?epid=21049288275&hash=item5282f646fd:g:ub0AAOSwSzZjbBNb"
"Apple iPhone 13 mini 128GB Factory Unlocked AT&T T-Mobile Verizon Fair Condition","$389.95",,,,,"false","49+ ","true","https://www.ebay.com/itm/294838709182?hash=item44a5c1abbe:g:XLwAAOSwz5Rjrc5f&amdata=enc%3AAQAIAAAA4BU5xfzlmJIZiBbq2%2FTrvgtb%2BcQyxqhf%2BZ1XBiuvrRYY0%2FhGKZsv0ArNIlJnCNiVye1YZeixHH6i0VqtXLxunrQrCTGvFeY33Pcg84espKH4JmVT8fvyHy6bSvDvgf6KNPfZD1iinLOf994GwHuk0eMDlxPafay7RFwv%2BMlZkJPfJP%2BZ9IZBAhFuryTU2Ew63qqqAAZMomAZB4HS6u66mh0i0Tjn6N9iqnZdMpJz%2F8unEcGePz3JynCmWNbZcG1qV%2FUDGlZLG2xVkLGzo59hXgNymHjeRm9o296sbktHIOvn%7Ctkp%3ABk9SR6Do1saJYg"
"Apple iPhone 13 mini 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good","$454.95","5.0 out of 5 stars.",,,,"true","184+ ","true","https://www.ebay.com/itm/304517572567?epid=9049279823&hash=item46e6a967d7:g:~r0AAOSwb2Vi~QJg&amdata=enc%3AAQAIAAAAwBoUNWfK1WYkwfYdbfJr9NitV%2BBizQJlgXPZH4s3WwwdbhkDlflKnBjXJry6I0dNFCkFDh64N0F%2BKDtqD8eflk%2F5tkRzPvyhUgEHZjEuWx%2BRhIVqu%2BtiWqjlsI0SeaUxOIfdvREa4%2B%2BRBaiSfw5tbfaCatzl0lUougGSxR2qaxWYCOxSqVEQzLSnaZ8Ec%2F%2BnSP8sU9RRXFEw8wmO%2BsvWgoR0pWqhgFfO%2BVqCBWfWSlM5K1SRc8y9CzhBetRXddUCMQ%3D%3D%7Ctkp%3ABk9SR6Do1saJYg"
"Apple iPhone 13 MINI - 128GB 256GB (UNLOCKED)🔋100% BATTERY🔋⚫⚪🔴🔵 ✤SEALED✤","$579.95","5.0 out of 5 stars.",,,,"false","9+ ","true","https://www.ebay.com/itm/225494721576?epid=3049291490&hash=item3480886428:g:q44AAOSwYQpkHlBJ&amdata=enc%3AAQAIAAAA4BC8J37hVlGYWUrTT7GPV1elTfGa0UH5LOP3vBl9FtRaoZYyXuWBbEKgT4cpBhOcL4qH4LHbgI8ryqGCKjnwVNc9bT72C0sn%2Bu21VH%2B6ZPy297Dv%2F2wRy6TKNE7acEfA5Gp9ndsdjFXEqagjE0U8Jii1CXYcZdNk3UtAcnha9pwTvksBkuy2VjEHllw6KM26AWSpYP6EBqbuuJ0EhN0XPfLoW3nAwDI9icFvW7bcGhr6vm9gl%2FoXBVoWMfF8Eb%2BZguNEe%2BOB1ue2rV4crzSwr2xFc3QvGPMC7%2BZKkjhcebRS%7Ctkp%3ABk9SR6Lo1saJYg"
"New ListingApple iPhone 13 - 128GB - Pink (Unlocked)","$405.00","4.5 out of 5 stars.",,"+$10.65 ",,"false",,"false","https://www.ebay.com/itm/166118847347?epid=6056697987&hash=item26ad747373:g:M4gAAOSwBgRkbVe8&amdata=enc%3AAQAIAAAA4CXB2aixVGkVYSZI%2Bmg%2FCFCxNFWPZk%2Fouu8r2xBh%2FdImGvndwQW5EX8sc9LjHKtqE8ebHbXXGxlGLfzL4iQQOodWkfTsCGp1nRhqwWh2LAvm5i99IhsE4QwrkJG3btebEQZgdQRqd8xLvzkDjCQNT2ggCUBbvGewOasSdtKW7m%2Fj%2BHUMYdmtwcsPJPclRKoWbkA%2FrQ%2BCDWJZtg3qxl3WqHAu3SbdiijhDHk2ahUe6r8tJrVPKTx9NzErs38HCHm4pZ5skw1buPwA9y9lUVC0lg%2BI9%2BE9No8aLQFnI0nwZOBE%7Ctkp%3ABk9SR6Lo1saJYg"
