"name","originalPrice","sellPrice","rating","url"
"Straight Talk Apple iPhone 13, 128GB, Midnight - Prepaid Smartphone [Locked to Carrier- Straight Talk]",,,"4.3","/ip/Straight-Talk-Apple-iPhone-13-128GB-Midnight-Prepaid-Smartphone-Locked-to-Carrier-Straight-Talk/454408250?athbdg=L1103"
"Straight Talk Apple iPhone 13 Pro Max, 128GB, Gold - Prepaid Smartphone",,"$1,099.00","4.3","/ip/Straight-Talk-Apple-iPhone-13-Pro-Max-128GB-Gold-Prepaid-Smartphone/888804766?athbdg=L1103"
"Straight Talk Apple iPhone 13 Pro Max 128GB, Silver - Prepaid Smartphone",,"$1,099.00","4.4","/ip/Straight-Talk-Apple-iPhone-13-Pro-Max-128GB-Silver-Prepaid-Smartphone/429605642"
"Straight Talk Apple iPhone 13 Pro Max, 128GB, Graphite - Prepaid Smartphone",,"$1,099.00","4.9","/ip/Straight-Talk-Apple-iPhone-13-Pro-Max-128GB-Graphite-Prepaid-Smartphone/889062044?athbdg=L1200"
"Straight Talk Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Prepaid Smartphone",,"$1,099.00","3.9","/ip/Straight-Talk-Apple-iPhone-13-Pro-Max-128GB-Sierra-Blue-Prepaid-Smartphone/690445951?athbdg=L1103"
"Walmart Family Mobile Apple iPhone 13 Pro Max, 128GB, Graphite - Prepaid Smartphone",,"$999.00","5","/ip/Walmart-Family-Mobile-Apple-iPhone-13-Pro-Max-128GB-Graphite-Prepaid-Smartphone/591387888"
"Total By Verizon Apple iPhone 13 Pro Max, 128GB, Graphite - Prepaid Smartphone [Locked to Total by Verizon]",,,"5","/ip/Total-By-Verizon-Apple-iPhone-13-Pro-Max-128GB-Graphite-Prepaid-Smartphone-Locked-to-Total-by-Verizon/866139391"
"Total By Verizon Apple iPhone 13, 128GB, Midnight- Prepaid Smartphone [Locked to Total by Verizon]",,,"4.5","/ip/Total-By-Verizon-Apple-iPhone-13-128GB-Midnight-Prepaid-Smartphone-Locked-to-Total-by-Verizon/211654357"
"Walmart Family Mobile Apple iPhone 13, 128GB, Midnight- Prepaid Smartphone",,"$829.00","4.3","/ip/Walmart-Family-Mobile-Apple-iPhone-13-128GB-Midnight-Prepaid-Smartphone/130350152"
"Straight Talk Apple iPhone 13 Pro, 128GB, Graphite- Prepaid Smartphone [Locked to Carrier- Straight Talk]",,"$999.00","3.6","/ip/Straight-Talk-Apple-iPhone-13-Pro-128GB-Graphite-Prepaid-Smartphone-Locked-to-Carrier-Straight-Talk/253784511"
