"symbol","name","lastPrice","industry/category","type","exchange"
"AAPU","Direxion Daily AAPL Bull 1.5X S","24.54","N/A","ETF","NGM"
"AAPD","Direxion Daily AAPL Bear 1X Sha","22.78","N/A","ETF","NGM"
"APLY.NE","APPLE (AAPL) YIELD SHARES PURPO","25.51","N/A","ETF","NEO"
"AAPB","GraniteShares 1.75x Long AAPL D","23.99","N/A","ETF","NGM"
"^AAPU-TC","DIREXION DAILY AAPL BULL 1.5X S","507,107.97","N/A","Index","ASE"
"46JJ.Z","ISTX LEV. 3X AAPL NR DL","22,912.59","N/A","Index","ZRH"
"^AAPD-TC","DIREXION DAILY AAPL BEAR 1X SHA","558,001.60","N/A","Index","ASE"
"^AAPD-NV","DIREXION DAILY AAPL BEAR 1X SHA","22.32","N/A","Index","ASE"
"^APLY-TC","YIELDMAX AAPL OPTION INCOME STR","29,894.60","N/A","Index","ASE"
"^AAPU-NV","DIREXION DAILY AAPL BULL 1.5X S","25.31","N/A","Index","ASE"
"O3CS.Z","IS.INV.LEV.-3X AAPL NR DL","482.28","N/A","Index","ZRH"
"^AAPU-IV","DIREXION DAILY AAPL BULL 1.5X S","25.32","N/A","Index","ASE"
"^AAPD-EU","DIREXION DAILY AAPL BEAR 1X SHA","558,001.60","N/A","Index","ASE"
"^AAPD-IV","DIREXION DAILY AAPL BEAR 1X SHA","22.32","N/A","Index","ASE"
"^NY2LAAPL","ICE Leveraged 2x AAPL Index","1,612.87","N/A","Index","NYS"
"46J5.Z","ISTX.IN.LE.-1X AAPL NR DL","78.53","N/A","Index","ZRH"
"^AAPU-EU","DIREXION DAILY AAPL BULL 1.5X S","506,232.72","N/A","Index","ASE"
"^APLY-NV","YIELDMAX AAPL OPTION INCOME STR","21.23","N/A","Index","ASE"
"^APLY-EU","YIELDMAX AAPL OPTION INCOME STR","22,547.88","N/A","Index","ASE"
